РАЗДЕЛ	Метки	Номер	Автор	Название	Комментарий	Серия/цикл	Номер в серии	Папка	Файл
Социально-гуманитарная литература	соц. политика	1206	Алиев Р.А.	Азиатско-тихоокеанский регион: мифы, иллюзии и реальность	Арин О.А., Азиатско-тихоокеанский регион: мифы, иллюзии и реальность. М.: Флинта, Наука, 1997. - 435 с.			hum\алиев р.а.	алиев р.а._азиатско-тихоокеанский регион - мифы, иллюзии и реальность#00JS.zip
Социально-гуманитарная литература	соц. политика	1207	Алиев Р.А.	Россия в стратегическом капкане	Москва, 1997, УДК 316(470+57)+32.01, ББК 66.4, А 81			hum\алиев р.а.	алиев р.а._россия в стратегическом капкане#00JT.zip
Социально-гуманитарная литература	соц. политика	1208	Алиев Р.А.	Россия на обочине мира				hum\алиев р.а.	алиев р.а._россия на обочине мира#00JU.zip
Социально-гуманитарная литература	соц. политика	1209	Алиев Р.А.	Царская Россия: мифы и реальность (конец XIX - начало XX века)				hum\алиев р.а.	алиев р.а._царская россия - мифы и реальность (конец xix - начало xx века)#00JV.zip
Социально-гуманитарная литература	соц. политика	1210	АНДРЕЕВ В.Г.	ГЕОПОЛИТИКА И МИРОВАЯ ВОЙНА				hum	андреев в.г._геополитика и мировая война#00JW.zip
Социально-гуманитарная литература	соц. политика	1211	Балашов Л.Е.	Критика марксизма и коммунизма. (Статьи и материалы разных лет).	Балашов Л.Е. Критика марксизма и коммунизма. (Статьи и материалы разных лет). М.: ACADEMIA. 1997. 90 c.			hum\балашов л.е.	Критика марксизма и коммунизма. (Статьи и материалы разных лет).#00JXzip
Социально-гуманитарная литература	соц. политика	1212	Бауман З.	Глобализация. Последствия для человека и общества.	Пер. с англ. М.: Издательство <Весь Мир>, 2004. 188 с.			hum	бауман з._глобализация. последствия для человека и общества#00JY.zip
Социально-гуманитарная литература	соц. политика	1213	Баумгартен А.	Третья Барбаросса				hum	баумгартен а._третья барбаросса#00JZ.zip
Социально-гуманитарная литература	соц. политика	1214	Белоногов А. М.	МИД, Кремль, кувейтский кризис	Белоногов А. М. Б 435 МИД, Кремль, кувейтский кризис - М.: ОЛМА-ПРЕСС, 2001. -  с.: ил. -- (Досье)			hum	белоногов а. м._мид, кремль, кувейтский кризис#00Ja.zip
Социально-гуманитарная литература	соц. политика	1215	Бурдыкин Ю.А., Мелехина Е.Ю.	КАК СПАСТИСЬ ОТ ПРИБЛИЖАЮЩЕГОСЯ САМОУНИЧТОЖЕНИЯ	Ю. А. Бурдыкин, Е. Ю. Мелехина. Как спастись от приближающего самоуничтожения. Монография, 2004 - 191 с.			hum	как спастись от приближающегося самоуничтожения#00Jb.zip
Социально-гуманитарная литература	соц. политика	1216	Бутенко А.П., Миронов А.В.	СРАВНИТЕЛЬНАЯ ПОЛИТОЛОГИЯ В ТЕРМИНАХ И ПОНЯТИЯХ	Бутенко А.П., Миронов А.В. Сравнительная политология в терминах и понятиях. Учеб, пособие. - М.: НОУ, 1998. - 411с.			hum	сравнительная политология в терминах и понятиях#00Jc.zip
Социально-гуманитарная литература	соц. политика	1217	Васильцов С.И., Обухов С.П.	Русский вопрос России: Политические партии и самосознание нации	"С.И. Васильцов, С.П. Обухов. Русский вопрос России: Политические партии и самосознание нации. - М: Изд-во ЦИПКР ""Русский летописец"", 2006. - 44 с."			hum	русский вопрос россии - политические партии и самосознание нации#00Jd.zip
Социально-гуманитарная литература	соц. политика	1218	ВНУТРЕННИЙ ПРЕДИКТОР СССР	Иудин грех  ХХ съезда		ВНУТРЕННИЙ ПРЕДИКТОР СССР		hum\ВНУТРЕННИЙ ПРЕДИКТОР СССР	Иудин грех  ХХ съезда#00Je.zip
Социально-гуманитарная литература	соц. политика	1219	ВНУТРЕННИЙ ПРЕДИКТОР СССР	Российское общество и гибель АПЛКурск12 августа 2000 года		ВНУТРЕННИЙ ПРЕДИКТОР СССР		hum\ВНУТРЕННИЙ ПРЕДИКТОР СССР	Российское общество и гибель АПЛКурск12 августа 2000 года#00Jf.zip
Социально-гуманитарная литература	соц. политика	1220	ВНУТРЕННИЙ ПРЕДИКТОР СССР	Троцкизм это <вчера>, но никак не <завтра>		ВНУТРЕННИЙ ПРЕДИКТОР СССР		hum\ВНУТРЕННИЙ ПРЕДИКТОР СССР	Троцкизм это вчера, но никак не завтра#00Jg.zip
Социально-гуманитарная литература	соц. политика	1221	Водолеев Г.С.	Люди и спецслужбы				hum	водолеев г.с._люди и спецслужбы#00Jh.zip
Социально-гуманитарная литература	соц. политика	1222	Володин А.Г., Широков Г.К.	"""Глобализация: начала, тенденции, перспективы. """				hum	глобализация - начала, тенденции, перспективы#00Ji.zip
Социально-гуманитарная литература	соц. политика	1223	Гаджиев К.С.	Введение в геополитику				hum\гаджиев к.с.	гаджиев к.с._введение в геополитику#00Jj.zip
Социально-гуманитарная литература	соц. политика	1224	Гаджиев К.С.	Введение в политическую науку: Учебник для высших учебных заведений.				hum\гаджиев к.с.	гаджиев к.с._введение в политическую науку#00Jk.zip
Социально-гуманитарная литература	соц. политика	1225	Гаджиев К.С.	ПОЛИТИЧЕСКАЯ НАУКА				hum\гаджиев к.с.	гаджиев к.с._политическая наука#00Jl.zip
Социально-гуманитарная литература	соц. политика	1226	Гайдар Е.Т.	ГИБЕЛЬ ИМПЕРИИ Уроки для современной России				hum\гайдар е.т.	гайдар е.т._гибель империи уроки для современной россии#00Jm.zip
